content,score,at
"Saya pendatang baru dan baru bergabung di facebook pada bulan Pebuari,jadi saya belum banyak pengalaman mengenai Facebook.Namun alhamdulila walaupun baru sebentar saya bergabung sudah lumayan menambah pengalaman,ilmu,teman dan sebagainya.saran saya untuk olah kata di facebook buatlah yang mudah di mengerti oleh semua orang karna saya baru saja mengganti kata sandi yang baru waduh rumit betul sampai berapa kali mengulang.",4,2022-03-10 21:23:23
"Mau aplound video ke fb selalu mengatakan melanggar hak cipta,,ahhk!!! Puki lho,dasar memang gk nyaman ini fb,kalo ada aplikasi yg lebih baik dari fb ini ,tinggal kan fb,asuh,",1,2022-03-10 20:42:02
"Sering hang,,dan untuk masuk akun sangat susah,,padhl email akun sudah benar,,ketik nama pengguna,yg muncul orang lain..malah nyangkut sama akun orang & nmr orang...parah..",1,2022-03-10 20:37:03
"Di mohon kerja samanya dari pihak developer nama Facebook saya Wong Elek Iso Opo telah dinonaktifkan, padahal saya tidak sedikit pun mengunggah tentang berbau situs pornografi, dimohon untuk mengembalikan akun Facebook saya yang telah dinonaktifkan tersebut Terima kasih.",1,2022-03-10 18:01:08
Akun FB saya ke kunci kemaren gimana solusi nyh biar kembali lagi ..akun udah lama ko bisa ke kunci. Tolong dong solusi nyh,2,2022-03-10 16:33:35
"Woyy Facebook,, di kira2 dong klw melihat kuota orng!! Kuota gue masih banyak kenapa Lo saranin mode gratis Mulu, klw kuota gue udh habis wajar ini masih banyak jadi admin benar dikit lh!!?",1,2022-03-10 15:20:39
"Bgus gess!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ngapain liat"" Udh tau bagus",5,2022-03-10 15:17:31
"Tolong pelayanan nya dong, kenapa Facebook saya ga bisa live dan ga bisa nonton live? Tolong ya perbaikan nya",5,2022-03-10 14:57:28
"Terimakasih berkat FB saya bisa jualan ikan cupang dan banyak teman"" dari mana mana.🙏",5,2022-03-10 14:29:38
"saya jarang di kasih chip bos, banyak rugi lah bos. harapan bisa di kembalikan sedikit yg sudah banyak habis hilang. thank",5,2022-03-10 14:26:37
Banyak ilmu yang didapat dan dipelajari terutama tentang kuliner... Flora/fauna. serta menambah teman dari mancanegara dari berbagai kultur budaya dll...,5,2022-03-10 13:55:25
Tolong kenapa ya saya padahal hanya jualan baju dan fashion laki laki ko akun saya tiba tiba di nonaktifkan Tapi kenapa akun akun yang jualan herbal atau pembesar selalu teratas.tolong dong keadilannya masa akun saya di nonaktifkan,2,2022-03-10 12:15:46
"akun saya di nonaktifkan padahal saya cuma maen Facebook baru, sekitar 30 menit dan saya bener bener kecewa sama apk ini, ini buat saya login login pake akun Facebook, ternyata malah ke banned, UDAH TAMPILAN JADUL, AKUN KE BANNED..",1,2022-03-10 11:11:14
"Fb semakin rumit,,, tiba2 minta kode verikasi udah dapat kode pengaturan g bisa dibuka... Dikeluarkan minta kode lg suruh nunggu tp g muncul2.. Membingungkan... Semakin kesini Fb semakin banyak aturan...",1,2022-03-10 11:07:20
Sudah seminggu ini kenapa saya tidak bisa buka fb dari hp ?? Padahal tiap ada pembaruan aplikasi selalu saya perbarui ..,1,2022-03-10 09:18:00
"Woy balikin fb yg dulu , yg skrg ribet bgt si ngelag mulu fb gw, tanggung jawab napa knp fb jd kek gini, gajelas bgt udh minta update mulu ga ada perubahan nya",1,2022-03-10 08:09:59
"Facebook sekarang makin rumit,bikin akun aja di persulit,sudah ikutin semua langkah"" nya,dan beberapa menit kemudian d blokir 30 hari",1,2022-03-10 07:11:34
"woyy ini kenapa mau jualan sepatu/apparel dari merk vans,converse,dll kok ditolak marketplace,apa salahnya?!!?!!!",1,2022-03-10 06:47:59
"Tolong untuk waktu Cerita facebooknya diubah dari 26 detik jadi 60 detikan, kurang puas klo cuma 26 detik aja Terus banyak video yg terpotong karena waktu cerita yg cuma sagitu saja. nanti klo sudah diubah saya akan tambakan bintangnya jadi 5",1,2022-03-10 05:06:23
"Ini Facebook kenapa sih makin ribet. Udah bikin baru juga salah. Yang lama susah login, udah bikin kata sandi juga kalo yang baru udah di ganti Mulu kata sandi tetep ga bisa terus tolong ini mark zubrekk perbaiki. Facebook dan fiturnya, sekarang Facebook lebih enak yang dulu demi apaaa.",1,2022-03-10 04:41:18
"Ribet banget masuknya, udah 6 bulan bahkan mau 10bulan gk bisa buka fb , kode login apa si gk ngerti, dpt sms di masukin salah pula katanya, padahal bener huuftcapeek",1,2022-03-10 03:46:18
Hai Facebook gimana nih kok kalo pas memberikan tanggapan gak bisa.... Dibatasi... Padahal Belum satupun sehari saya memberi tanggapan. Kok ribet banget sik... 😔😔😔😔,1,2022-03-10 02:50:56
Tolong benahi marketplace nya makin borok..saya posting baik2 malah di tolak..dan setiap ada yg report pasti lansung terima..sementara postingan saya tidak ada melangar..nah postingan melangar malah bertahan dan lolos kok aneh min????,1,2022-03-10 02:36:08
"Akun saya dinonaktifkan facebook, padahal saya menghubungkannya ke apps lain seperti instagram ke facebook, dan sekarang data saya di apps lain yg saya hubungkan ke Facebook jdi gk bisa di akses lagi, akun saya dinonaktifkan secara permanen. Sial aplikasi anjir",1,2022-03-10 00:54:51
"Untuk Facebook Yg Terbaru Malah Video Disampah & Arsip Gk Bisa Dihapus,Harus Nunggu 30 Hari Bisa Terhapus,Pahadal Untuk Versi2 Sebelumnya Gak Ada Masalah Untuk Penghapusan Mohon Ditindak Lanjuti Saran Dari Kami. Terima Kasih.",3,2022-03-10 00:46:57
"Aturan nya tidak jelas, FB sekarang benar2 payah aturan maennya, seenaknya ngebanned dan menonaktifkan akun hanya karena laporan yang tidak akurat.",1,2022-03-10 00:21:23
"Pas udah upgrade malah makin lelet, kacau. Dulu sebelum di upgrade gapernah tuhh lelet, kacau dah.",1,2022-03-09 23:45:31
"apakah harus per 24 jam update?? yg ternyata menu2nya dari tahun ke tahun sama saja, jadi apakah yang diupdate itu,hingga tiap hari harus update",1,2022-03-09 17:19:17
"Facebook makin 👎 kasih notifikasi suka ngawur bukan dari fan page yang diikuti nongol, yang lebih parah grup bukan anggota dapat notifikasi. Makin gak nyaman makin males pake Facebook. Saya paling gak suka dengan yang namanya grup apapun 👎🐒",1,2022-03-09 17:14:00
kalo memang kaga ada notifikasi dari komen dll. kenapa harus ada tanda notifnya sih? giliran dibuka. kaga ada apa2. makin lama makin kaga jelas nih fb.,1,2022-03-09 17:08:37
Kenapa akun lain saya buka di app fb saya gk bisa?? Selalu bilang ulang kata sandi ??? Telah siap update ulang kok malah jd gk bisa.... Gmn ni ...,1,2022-03-09 17:08:19
"Menyulitkan untuk login,harus pakai tanda pengenal hey FB ini medsos GK mungkin data pengenal saya harus berikan lengkap,anda ini tukang bobol atau pencuri data?",1,2022-03-09 14:52:27
Ea tuh saya juga dh lma main fb tp sekharang makin ribet fb ga bisa dibukha kata nya selalu salah kata sandi pdahal aku ga lupa kata sandi.,5,2022-03-09 14:47:25
Posting jualan malah mau di blokir sama Facebook. Ada ada aja alasanya. Posting makanan katanya melanggar ini itu. Padahal niatnya baik untuk posting jualan. Tolong di perbaiki lagi aturanya.,1,2022-03-09 13:53:24
Bisa ga si fb waras dikit jangan bikin emosi gitu -_- hari hari diban padahal ga ngapa ngapain aneh loh ga bisa liat orang seneng nonton komen streaming sejauh ini gue ga pernah berkata toxic 😑,1,2022-03-09 13:24:09
Fb sdh bekerja sama dengan adanya virus covid hoax.. karena fb selalu memblokir video2 yg bersifat asli utk membongkar bahwa virus covid19 ini hoax alias virus penipuan....,1,2022-03-09 13:13:33
akun fb ko mudah sekali di bajak pihak yg tidak bertanggung jawab. fb ku baru dua hari dibajak padahal gk ada kukaitkan kemana mana. di kirim kode fb malah kenomor yg tidak aktif lagi atau sudah rusak. tolong bagaimana caranya agar kodenya bisa masuk di nomor yg aktif saat ini. mohon pihak facebook bantu kami.,5,2022-03-09 12:56:00
"Entah kenapa apk ampas buatan markonah ini minimal dua hari sekali pasti ada pembaruan, pembaruannya cuma pembaruan sistem pula, mana ukurannya besar² tiap kali pembaruan",1,2022-03-09 12:55:22
Lama-lama bikin malas main Facebook kesalahan gak seberapa akun gak bisa di apa-apain berkomentar menyukai membuat status semua gak bisaa. Bikin kesal 😡😡😡😡,1,2022-03-09 12:46:59
Facebook itu kebanyakan update & menu video yang ga ada gunanya Baru masuk terus keluara giliran masuk lagi tidak bisa sesi waktu anda sudah habis paling tidak suka dari faceook kalau buat iklan di market tidak ada pilihan katagori lengkap barang ..payah,1,2022-03-09 12:39:41
"Kadang keluar sendiri dan kadang kembali dari komentar org ke postingan gak bisa yg ada tulisan biru ""postingan"" gak bisa di tekan Facebook gak seperti dulu lagi dan makin jelek",1,2022-03-09 12:39:17
"Saya kasih bintang satu aja. Semakin kesini, semakin payah. Akun saya tiba2 tidak bisa menggunakan fitur komentar, like, dan tidak bisa posting. Padahal tidak ada pelanggaran dan tidak ada pemberitahuan.",1,2022-03-09 12:12:15
Apk ini legenda!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!kan legenda,5,2022-03-09 12:07:20
Facebook saya bermasalah diminta aktif kan akun Facebook protect tapi udh saya ikut semua langkah masih jg belum bisa dibuka Facebook saya mohon dong gmn cara nya ini supaya akun saya bisa digunakan kembali. 🙏🙏🙏,5,2022-03-09 09:34:34
"Sangat buruk, seenaknya mengkla hak cipta pada Vidio/foto yang kita buat sendiri, terlalu banyak peraturan",1,2022-03-09 07:55:45
"Tolong pihak facebook,, kembalikan akun saya... Gara-gara akun instagram saya di nonaktifkan dan tautkan ke fb, kok malah jadi di nonaktifkan juga #sad",1,2022-03-09 07:27:19
"Sangat-sangat mengecewakan aplikasi Facebook.. Buat sebagian besar pebisnis yg promosi di Facebook ini sangat menyusahkan, apabila tidak bisa login seperti ini... #unisntal_facebook",1,2022-03-09 07:18:25
Tidak dapat memilih metode pembayaran promosi. Harus gimana? Bilangnya terjadi kesalahan terus disuruh coba lagi iadah saya coba tapi tetep ngga bisa buat milih metode pembayaran ?,1,2022-03-09 07:10:07
"Bugnya parah! Setiap kali logout, membuka aplikasi untuk mencoba login ulang, diam tidak ada indikasi loading. Benar-benar makin parah Facebook!",1,2022-03-09 06:49:55
"Tolong iklan dan video dewasa jangan di tampilkan banyak, anak usia 18 tahun saat ini yang menggunakan facebook",3,2022-03-09 06:20:43
Akun facebook saya lupa pasword .lupa pasword email.tidak bisa akses ke email hp sudah ganti.no hp sudah hilang bagaimana cara memulihkan nya saya sudah mengirikan data saya ke alamat email beserta file bukti akun saya tolong bantu,5,2022-03-09 06:01:54
"saya pengguna lama facebook dari tahun 2009 aktif kemarin"" sampai sekarang tidak bisa masuk.. aku kecewa.. apa harus diviralkan dimedia lain baru ditindak lanjutin🤦‍♂️ dalam"" satu minggu ini tidak bisa log in aku hapus fb dari perangkatku🙏🙏🙏",1,2022-03-09 05:54:12
"untuk pihak Facebook tolong perbaiki ini dulu saya menggunakan Facebook ga ada kendala setiap saya lihat postingan selalu lucu entah kenapa setelah di update Facebook banyak hacker tidak bertanggung jawab saya sudah masukkan no telp tapi tidak bisa, dan yang lebih parahnya lagi saya buat akun baru saya udah add 26 teman dan selalu lihat postingan entah kenapa saya tinggalkan Facebook hanya 1 jam akun saya sudah di nonaktifkan padahal saya gunain Facebook setiap hari tolong perbaiki!",1,2022-03-09 05:39:43
"Kok mau undang siaran langsung,ke temen nggak bisa sih katanya minta di perbarui FB nya sudah saya perbarui ttp juga gak bisa,cpet di benerin dong persinya,",1,2022-03-09 05:25:19
"Akun FB tekuni dan tidk dapat konfirmasi identitas soalnya saya tidak punya identitas buat konfirmasi,kenapa tidak di tambahkan opsi verivikasi dengan no telepon dan email",1,2022-03-09 05:05:05
"Saya buat akun 2x , semunya kena banned ,semua aktivitas di batasi sampai 30hari ,padahal semua akun baru . Facebook gimna aplikasinya ko gini, percuma buat akun tapi ga bisa di buka semuanya",1,2022-03-09 04:00:23
"Aplikasi yang ribet. Saya tidak bermaksud berkata kasar tetapi saya malah dilarang berkomentar selama 1 bulan. Terus saya juga sudah memverifikasi dengan KTP karena akun saya dikunci karena dihack, tetapi malah bug. Kemudian untuk penonaktifan akun secara tiba tiba tanpa alasan yang jelas. Ini membuktikan bahwa Facebook sekarang adalah aplikasi yang MENGECEWAKAN. Saya sangat kecewa dengan Facebook sekarang.",1,2022-03-09 03:58:09
Heran sekelas facebook gampang kali di bobol/hack. Fb saya di hack kata sandi di ganti & email konfirmasipun di ganti. & ga bisa di kembalikan. Parah,1,2022-03-09 03:18:14
"Akun lama ke hack aneh, yang awalnya email punya saya malah jadi ...@hotmail. Gajelas kan?",1,2022-03-09 03:08:54
"Saya memposting cerpen, ada kata-kata ""pukul, bunuh, bunuh diri"". Padahal tidak ada kata-kata kasar atau jorok. Namun malah melanggar aturan ancaman. Namanya juga cerpen. Lama-lama kata-kata tersebut hilang dari kamus Indonesia, kalau kata-kata tersebut dianggap ancaman di sosmed seperti Facebook. Facebook telah menghapus beberapa kata dalam bahasa Indonesia. Berarti sama saja menghapus budaya Indonesia. Memalukan.",1,2022-03-08 21:40:18
Makin kesini. keamanannya makin kacau. login pake hp dan email yg sama. kok ga ke baca.. anehh. harusnya sudah konfirmasi email. cukup. eh login balik anda harus konfirmasi dg hape yg lama. pdhl bikin akun ya pake hp yg skrang bwt login. payahh,1,2022-03-08 20:05:54
"Jadi jelek Facebook sekarang pengamanannya buruk sekali saya sampai kehilangan akun, mana akun untuk jual beli malah ada yang ngebajak hangusdah facebook saya",1,2022-03-08 17:55:49
"Akun saya balikin, kenapa tidak bisa di buka. Ellen degenerss show,. Dr tgl 27 feb sampe skrg blm bisa.",1,2022-03-08 16:15:36
"Facebook makin lama makin ribet , saya lupa kata sandi mau login ke hp lain susah , kalo dulu cuma tinggal kirim kode ke SMS/Email , sekarang ribet banget , mana banyak aplikasi"" penting yang tertaut ke facebook",1,2022-03-08 16:01:23
"Mohon kepada pihak fb lebih menyaring postingan2 di fb, karna banyak postingan ini yang lebih kepada memperluas kebencian di masyarakat. Kepada pihak fb tolong lebih memperhatikan membernya agar lebih tenteram dan bukan sebagai alat penyebarluasan kebencian. Terima kasih",2,2022-03-08 15:55:51
"Facebook baru 2 hari sudah update aja....bagaimana sih ini pihak fb,,,mending tiap 2 jam aja update terus,,,paraaaahhhhhhhhhh",2,2022-03-08 14:09:20
Saya kecewa cuma ganti tanggal ulang tahun tiba tiba Facebook nya keluar sendiri dan tidak bisa masuk ke Facebook lagi,1,2022-03-08 12:28:28
ToLong untuk yang membuat faceebook akun saya tidak bisa 1 harus ada kode tapi tidak bisa saya coba tolong bantuannya terima kasih,1,2022-03-08 11:42:53
"Tolong baca untuk pihak Facebook untuk membaca pesan ini, karena kawan saya punya akun Facebook yang sudah di retas, dan beliau pun sudah mengirimkan id beliau di email Facebook, dan tidak ada solusi sama sekali",1,2022-03-08 09:01:35
"Tolong dong bagi pihak facebook, keamanannya di tingkatkan. baru2 ini akun saya tidak bisa ditemukan kena hack... Saya mohon bantuan nya untuk mengembalikan akun saya lagi... Terima kasih.",3,2022-03-08 07:58:04
"akun mudah di curi, keamanan akun sangat rendah, developer tidak konsisten, pencarian akun yg hilang sangat lambat,",1,2022-03-08 07:42:14
"Tolong untuk pihak Facebook dibaca. Mohon di perbaiki lagi Facebook nya, masa enggak bisa buat liat status cerita org. Sangat kecewa sekali, Facebook makin enggk bagus",2,2022-03-08 07:04:22
"Akun saya kena sesi cuman karena ada login dari luar, sangat tidak direkomendasikan sekali jika anda yg jual beli akun atau meminjamkan akun ke orang lain, mana susah lagi membuka sesinya, terlalu ribet",1,2022-03-08 07:01:43
"Gila semua Aplikasi yg ada di Play store dan app store cepat sekali sekarang disuruh update terus paling lama 3 hari gila kasian bget kalo kek kami yg pendapatan kurang dan mau isi Kouta aja sussahh,,mohonlah petinggi playstore kebijakan ya mana",1,2022-03-08 06:50:47
Aplikasi gajelas banget. Masa komen ngomongin pukul berapa aja dianggap kekerasan. Otak dipake dong. Buat muter video lag². Suka error. Gini bgt fb ori. Mending fb lite jauhh,1,2022-03-08 06:04:35
"Ini kenapa sama aplikasinya, per tanggal 8 maret selalu Force Close, untuk mengetik tidak lancar, padahal diaplikasi lain sangat lancar, sudah update tapi tidak ada perubahan, tolong diperbaiki",1,2022-03-08 05:10:51
Gmn sih kok ngak bisa d buka ...akun ku coba buka putri salju...dan tidak bisa kembali k pengaturan awal coba d perhatian pihak fb itu akun ku lama dan tidak melanggar,1,2022-03-08 03:43:12
"Facebook sekarang ga kaya dulu sekarang susah daftarnya harus nunggu 1 bulan mangkannya sy jarang make facebook klo ga ada keperluan sm keluarga yg di luar negri mh udah gw hapus ng apk,,tolong di perbaikin lg",1,2022-03-08 03:32:00
"Karna permintaan kode login, saya g bisa masuk. Udah dari tahun kmaren. Mana akun fb itu penting lagi! Ayolah meta perbaiki permasalahan ini. Yg saya punya saat ini cuman akun email yg tertaut",1,2022-03-08 03:17:32
"Jika terlalu banyak menyimpan lagu di fitur musik, lagu yang sudah tersimpan akan tidak bisa tampil. Itu masalah yang saya alami setelah update Facebook versi terbaru ini.",1,2022-03-08 01:01:29
"Akunku hilang karena mengganti tahun kelahiran menjadi 2020, masak gitu aja langsung hilang, padahal udah nunjukin foto ktp, aku fb sama ig langsung hilang🙏🤕",1,2022-03-08 00:46:49
"Salah saya apa ya? Postingan kue saya 2 tahun yang lalu kok dijadikan alasan untuk membaned akun FB saya, dengan alasan tidak mematuhi standar komunitas, ini sangat Zholim! selama akun saya di banned selama itu pula saya kasih rating 1 buat aplikasi Zionis ini!",1,2022-03-07 23:39:54
Jangan mau kalo disuruh upload data pribadi. Fb kayaknya udah mo bangkrut and mo jualan data pribadi penggunanya.,1,2022-03-07 21:45:32
Tolong perbaiki kenapa saya tidak bisa membuka Facebook saya padahal ada data data penting di hp say tolong batuannya,1,2022-03-07 20:55:20
"balasan koment kadang gk bisa di liat/di pencet ,, loading,,tpi tidak ada respon.... saya sebagai penskroll komentar,,merasa terganggu....",3,2022-03-07 17:14:39
"Saya kecewa banget sama fb. Saya memosting mukbang bareng teman saya dan foto keindahan doang, tp kok di banned selama 30 hari sedangkan postingan yg berfornograpi gk. Udah itu saya gk bisa pake akun saya padahal gmail udah bener password nya juga tapi tetep gk bisa. Terus koneksi bagus tp tetep gk bisa, klo gitu saya menuninstal fb. Sama sekali gk melanggar. Waktu beberapa hari saya buat akun fb lagi padahal gk posting tetep di ban fb memang idiot 🖕😠",1,2022-03-07 16:48:34
"Dengan kebijakan baru ini, saya jadi susah untuk login ke aplikasi favorit saya padahal di aplikasi favorit saya itu banyak sekali koleksi saya dari dulu tapi sekarang sudah tidak bisa.",1,2022-03-07 16:26:04
"Facebook sekarang makin ribet,,, karena saya cuman punya satu akun Facebook biasanya bisa di pake sama dua hp berbeda,, sekarang mah ga bisa,, sekarang akun saya ga bisa masuk kekunci ,,, tolong dong pihak Facebook from meta gimana solusinya,,, lebih baik Facebook yang dulu ga ribet,, Facebook sekarang mah payah ribet banget....",1,2022-03-07 16:07:57
Kenapa tiba-tiba mode gelap di pengaturan facebook saya hilang ? Padahal sebelumnya ada. Saya pakai Samsung tab A.,3,2022-03-07 15:58:13
"Saya cuma mau komen saja tapi untuk install lagi Facebook rasanya malas menggunakan aplikasi ini,sebab akun saya saya sudah di hilangkan tanpa sebab yg jelas,..sudah ajukan banding segala macam yg seharusnya tidak perlu karena tidak melakukan pelanggaran tetap tidak berhasil sampai sekarang SDH hilang akun saya tersebut...",1,2022-03-07 15:51:40
Dari awal tahun 2021 SD 2022 akun Facebook milik sy sendiri tidak dapat dibuka hanya gara² ganti HP????? Kalau bikin lagi akun baru males mending tidak usah punya Facebook,1,2022-03-07 14:54:12
Terlalu banyak aturan..susah buat jualan ! Makin hari makin tidak masuk akal..apalagi pedoman komunitas..seandainya ada aplikasi serupa yg tdk terlalu banyak peraturan..sy tdk akan menggunakan aplikasi ini lagi,1,2022-03-07 14:06:44
"Sumpah... Gua kesel banget sma nih aplikasi Padahal gua ada data tpi selalu dia lihkan ke mode gratis lalu ulang"" Lagi, Mohon kepada developer untuk memperbaiki nyaa..... 🙏🙏🙏🙏",1,2022-03-07 13:41:58
Facebook telah menjadi media yang tidak kredibel. Semua informasi yang disajikan sebagian besar untuk kepentingan propaganda Paman Sam & sekutunya,1,2022-03-07 13:26:21
"Kenapa baru di update k versi baru, musik nya hilang pas mau membuat cerita? Tolong penjelasan nya!",1,2022-03-07 12:30:54
"aplikasi tolol nih sepaket sama IG dan WA, buka di mana liat story buka di lain tempat. mana beda kota. tolong di perketat keamanannya. banyak penyalahgunaan dari oknum"" tertentu.",1,2022-03-07 12:26:56
